variant,k,log_c_k,c_k_digits
5,10,12.129024200574,6
5,20,19.354029921691,9
5,30,25.095101639698,11
5,40,30.017625585746,14
5,50,34.399915586344,15
5,60,38.390554284163,17
5,70,42.080122924852,19
5,80,45.528742702273,20
5,90,48.778765493987,22
5,100,51.861373136992,23
5,110,54.800320825613,24
5,120,57.614205151847,26
5,130,60.317911337649,27
5,140,62.923576221391,28
5,150,65.441251598072,29
5,160,67.879374649156,30
5,170,70.245109952933,31
5,180,72.544603522237,32
5,190,74.783175062643,33
5,200,76.965465892691,34
5,210,79.095554427494,35
5,220,81.177047524204,36
5,230,83.213153588269,37
5,240,85.206741706879,38
5,250,87.160389943807,38
5,260,89.076425130940,39
5,270,90.956955919153,40
5,280,92.803900434736,41
5,290,94.619009580759,42
5,300,96.403886793944,42
5,310,98.160004895032,43
5,320,99.888720539129,44
5,330,101.591286671355,45
5,340,103.268863314584,45
5,350,104.922526954561,46
5,360,106.553278739223,47
5,370,108.162051670461,47
5,380,109.749716935755,48
5,390,111.317089502236,49
5,400,112.864933075620,50
5,410,114.393964510049,50
5,420,115.904857741402,51
5,430,117.398247305597,51
5,440,118.874731494206,52
5,450,120.334875192087,53
5,460,121.779212435363,53
5,470,123.208248722743,54
5,480,124.622463108647,55
5,490,126.022310102828,55
5,500,127.408221397917,56
5,510,128.780607443581,56
5,520,130.139858883632,57
5,530,131.486347870399,58
5,540,132.820429268944,58
5,550,134.142441762207,59
5,560,135.452708866871,59
5,570,136.751539868610,60
5,580,138.039230684407,60
5,590,139.316064658779,61
5,600,140.582313300009,62
5,610,141.838236961807,62
5,620,143.084085475276,63
5,630,144.320098735547,63
5,640,145.546507246980,64
5,650,146.763532630477,64
5,660,147.971388096063,65
5,670,149.170278883597,65
5,680,150.360402674221,66
5,690,151.541949974861,66
5,700,152.715104477939,67
5,710,153.880043398190,67
5,720,155.036937788368,68
5,730,156.185952835427,68
5,740,157.327248138621,69
5,750,158.460977970883,69
5,760,159.587291524666,70
5,770,160.706333143385,70
5,780,161.818242539457,71
5,790,162.923154999900,71
5,800,164.021201580321,72
5,810,165.112509288111,72
5,820,166.197201255548,73
5,830,167.275396903505,73
5,840,168.347212096356,74
5,850,169.412759288662,74
5,860,170.472147664171,75
5,870,171.525483267605,75
5,880,172.572869129695,75
5,890,173.614405385882,76
5,900,174.650189389069,76
5,910,175.680315816785,77
5,920,176.704876773098,77
5,930,177.723961885589,78
5,940,178.737658397671,78
5,950,179.746051256530,79
5,960,180.749223196933,79
5,970,181.747254821146,79
5,980,182.740224675175,80
5,990,183.728209321529,80
5,1000,184.711283408711,81
7,10,14.620333719582,7
7,20,23.103886741452,11
7,30,29.815931679635,13
7,40,35.558663579612,16
7,50,40.664319456711,18
7,60,45.309342649415,20
7,70,49.600933877229,22
7,80,53.610071763155,24
7,90,57.386663794488,25
7,100,60.967400518245,27
7,110,64.380200109901,28
7,120,67.646896054653,30
7,130,70.784949425347,31
7,140,73.808586701494,33
7,150,76.729582638083,34
7,160,79.557814906819,35
7,170,82.301666973957,36
7,180,84.968327114434,37
7,190,87.564014549676,39
7,200,90.094153323889,40
7,210,92.563507973760,41
7,220,94.976290784295,42
7,230,97.336247587106,43
7,240,99.646727129153,44
7,250,101.910737703473,45
7,260,104.130993791022,46
7,270,106.309954787581,47
7,280,108.449857398972,48
7,290,110.552742926447,49
7,300,112.620480394746,49
7,310,114.654786272222,50
7,320,116.657241377787,51
7,330,118.629305450436,52
7,340,120.572329764833,53
7,350,122.487568104176,54
7,360,124.376186344617,55
7,370,126.239270860217,55
7,380,128.077835921253,56
7,390,129.892830229491,57
7,400,131.685142710446,58
7,410,133.455607663409,58
7,420,135.205009354212,59
7,430,136.934086122772,60
7,440,138.643534066646,61
7,450,140.334010352935,61
7,460,142.006136203381,62
7,470,143.660499591259,63
7,480,145.297657683358,64
7,490,146.918139055938,64
7,500,148.522445709710,65
7,510,150.111054905696,66
7,520,151.684420841064,66
7,530,153.242976181681,67
7,540,154.787133466064,68
7,550,156.317286393708,68
7,560,157.833811009210,69
7,570,159.337066792318,70
7,580,160.827397662896,70
7,590,162.305132908768,71
7,600,163.770588043579,72
7,610,165.224065600998,72
7,620,166.665855870975,73
7,630,168.096237583108,74
7,640,169.515478541713,74
7,650,170.923836216706,75
7,660,172.321558293989,75
7,670,173.708883188690,76
7,680,175.086040524276,77
7,690,176.453251580278,77
7,700,177.810729711094,78
7,710,179.158680738136,78
7,720,180.497303317360,79
7,730,181.826789284040,79
7,740,183.147323976493,80
7,750,184.459086540299,81
7,760,185.762250214437,81
7,770,187.056982600635,82
7,780,188.343445917114,82
7,790,189.621797237840,83
7,800,190.892188718248,83
7,810,192.154767808401,84
7,820,193.409677454398,84
7,830,194.657056288827,85
7,840,195.897038810986,86
7,850,197.129755557522,86
7,860,198.355333264128,87
7,870,199.573895018832,87
7,880,200.785560407435,88
7,890,201.990445651570,88
7,900,203.188663739840,89
7,910,204.380324552445,89
7,920,205.565534979705,90
7,930,206.744399034827,90
7,940,207.917017961257,91
7,950,209.083490334941,91
7,960,210.243912161771,92
7,970,211.398376970505,92
7,980,212.546975901405,93
7,990,213.689797790842,93
7,1000,214.826929252076,94
11,10,18.926516858795,9
11,20,29.548123741759,13
11,30,37.901315098506,17
11,40,45.027415777574,20
11,50,51.351662066664,23
11,60,57.098236025562,25
11,70,62.402703314491,28
11,80,67.354523712941,30
11,90,72.016440644488,32
11,100,76.434489360561,34
11,110,80.643641689989,36
11,120,84.671210464744,37
11,130,88.539013712837,39
11,140,92.264810152291,41
11,150,95.863285331456,42
11,160,99.346749336715,44
11,170,102.725642988158,45
11,180,106.008913140162,47
11,190,109.204296245766,48
11,200,112.318536203173,49
11,210,115.357554203304,51
11,220,118.326582911429,52
11,230,121.230273735632,53
11,240,124.072783503161,54
11,250,126.857845182002,56
11,260,129.588826098646,57
11,270,132.268776253753,58
11,280,134.900468720615,59
11,290,137.486433657406,60
11,300,140.028987126009,61
11,310,142.530255655436,62
11,320,144.992197293915,63
11,330,147.416619744608,65
11,340,149.805196064290,66
11,350,152.159478313881,67
