variant,prime,residue_raw,residue_normalized
7,7,5,0.714285714286
7,11,2,0.181818181818
7,13,6,0.461538461538
7,17,14,0.823529411765
7,19,6,0.315789473684
7,23,2,0.086956521739
7,29,24,0.827586206897
7,31,20,0.645161290323
7,37,34,0.918918918919
7,41,21,0.512195121951
7,43,0,0.000000000000
7,47,22,0.468085106383
7,53,7,0.132075471698
7,59,18,0.305084745763
7,61,25,0.409836065574
7,67,20,0.298507462687
7,71,46,0.647887323944
7,73,22,0.301369863014
7,79,34,0.430379746835
7,83,26,0.313253012048
7,89,0,0.000000000000
7,97,0,0.000000000000
7,101,9,0.089108910891
7,103,62,0.601941747573
7,107,42,0.392523364486
7,109,25,0.229357798165
7,113,5,0.044247787611
7,127,33,0.259842519685
7,131,72,0.549618320611
7,137,95,0.693430656934
7,139,136,0.978417266187
7,149,115,0.771812080537
7,151,42,0.278145695364
7,157,143,0.910828025478
7,163,62,0.380368098160
7,167,76,0.455089820359
7,173,161,0.930635838150
7,179,176,0.983240223464
7,181,83,0.458563535912
7,191,172,0.900523560209
7,193,37,0.191709844560
7,197,47,0.238578680203
7,199,27,0.135678391960
7,211,62,0.293838862559
7,223,191,0.856502242152
7,227,117,0.515418502203
7,229,21,0.091703056769
7,233,65,0.278969957082
7,239,222,0.928870292887
7,241,58,0.240663900415
7,251,150,0.597609561753
7,257,35,0.136186770428
7,263,125,0.475285171103
7,269,185,0.687732342007
7,271,40,0.147601476015
7,277,51,0.184115523466
7,281,3,0.010676156584
7,283,58,0.204946996466
7,293,276,0.941979522184
7,307,257,0.837133550489
7,311,127,0.408360128617
7,313,29,0.092651757188
7,317,169,0.533123028391
7,331,297,0.897280966767
7,337,43,0.127596439169
7,347,315,0.907780979827
7,349,331,0.948424068768
7,353,130,0.368271954674
7,359,230,0.640668523677
7,367,20,0.054495912807
7,373,116,0.310991957105
7,379,33,0.087071240106
7,383,335,0.874673629243
7,389,385,0.989717223650
7,397,333,0.838790931990
7,401,19,0.047381546135
7,409,403,0.985330073350
7,419,199,0.474940334129
7,421,185,0.439429928741
7,431,395,0.916473317865
7,433,292,0.674364896074
7,439,236,0.537585421412
7,443,360,0.812641083521
7,449,293,0.652561247216
7,457,117,0.256017505470
7,461,112,0.242950108460
7,463,63,0.136069114471
7,467,444,0.950749464668
7,479,265,0.553235908142
7,487,275,0.564681724846
7,491,106,0.215885947047
7,499,68,0.136272545090
7,503,344,0.683896620278
7,509,236,0.463654223969
7,521,148,0.284069097889
7,523,342,0.653919694073
7,541,143,0.264325323475
7,547,536,0.979890310786
7,557,313,0.561938958707
7,563,54,0.095914742451
7,569,218,0.383128295255
7,571,408,0.714535901926
7,577,138,0.239168110919
7,587,282,0.480408858603
7,593,560,0.944350758853
7,599,273,0.455759599332
7,601,169,0.281198003328
7,607,154,0.253706754530
7,613,377,0.615008156607
7,617,7,0.011345218801
7,619,2,0.003231017771
7,631,128,0.202852614897
7,641,129,0.201248049922
7,643,66,0.102643856921
7,647,424,0.655332302937
7,653,392,0.600306278714
7,659,649,0.984825493171
7,661,404,0.611195158850
7,673,482,0.716196136701
7,677,387,0.571639586411
7,683,333,0.487554904832
7,691,639,0.924746743849
7,701,103,0.146932952924
7,709,126,0.177715091678
7,719,596,0.828929068150
7,727,711,0.977991746905
7,733,724,0.987721691678
7,739,218,0.294993234100
7,743,276,0.371467025572
7,751,684,0.910785619174
7,757,463,0.611624834875
7,761,615,0.808147174770
7,769,523,0.680104031209
7,773,62,0.080206985770
7,787,574,0.729351969504
7,797,273,0.342534504391
7,809,753,0.930778739184
7,811,243,0.299630086313
7,821,486,0.591961023143
7,823,415,0.504252733900
7,827,737,0.891172914148
7,829,385,0.464414957780
7,839,271,0.323003575685
7,853,65,0.076201641266
7,857,665,0.775962660443
7,859,663,0.771827706636
7,863,790,0.915411355736
7,877,523,0.596351197263
7,881,390,0.442678774120
7,883,255,0.288788221971
7,887,211,0.237880496054
7,907,281,0.309812568908
7,911,48,0.052689352360
7,919,767,0.834602829162
7,929,481,0.517761033369
7,937,731,0.780149413020
7,941,242,0.257173219979
7,947,852,0.899683210137
7,953,857,0.899265477440
7,967,373,0.385729058945
7,971,551,0.567456230690
7,977,242,0.247697031730
7,983,154,0.156663275687
7,991,111,0.112008072654
7,997,588,0.589769307924
7,1009,550,0.545094152626
7,1013,920,0.908193484699
7,1019,255,0.250245338567
7,1021,941,0.921645445642
7,1031,58,0.056256062076
7,1033,77,0.074540174250
7,1039,580,0.558229066410
7,1049,540,0.514775977121
7,1051,963,0.916270218839
7,1061,878,0.827521206409
7,1063,515,0.484477892756
7,1069,63,0.058933582788
7,1087,425,0.390984360626
7,1091,728,0.667277726856
7,1093,755,0.690759377859
7,1097,693,0.631722880583
7,1103,618,0.560290117860
7,1109,474,0.427412082958
7,1117,303,0.271262309758
7,1123,199,0.177203918077
7,1129,571,0.505757307352
7,1151,1082,0.940052128584
7,1153,1100,0.954032957502
7,1163,470,0.404127257094
7,1171,159,0.135781383433
7,1181,749,0.634208298052
7,1187,892,0.751474304971
7,1193,1192,0.999161777033
7,1201,141,0.117402164863
7,1213,454,0.374278647980
7,1217,500,0.410846343468
7,1223,18,0.014717906787
7,1229,70,0.056956875509
7,1231,509,0.413484971568
7,1237,525,0.424413904608
7,1249,498,0.398718975180
7,1259,533,0.423351866561
7,1277,113,0.088488645262
7,1279,1200,0.938232994527
7,1283,859,0.669524551832
7,1289,728,0.564778898371
7,1291,635,0.491866769946
7,1297,562,0.433307632999
7,1301,441,0.338970023059
7,1303,28,0.021488871834
7,1307,917,0.701606732976
7,1319,628,0.476118271418
7,1321,353,0.267221801665
7,1327,1015,0.764883195177
7,1361,521,0.382806759735
7,1367,690,0.504754937820
7,1373,1190,0.866715222141
7,1381,1080,0.782041998552
7,1399,880,0.629020729092
7,1409,8,0.005677785664
7,1423,163,0.114546732256
7,1427,1051,0.736510161177
7,1429,1103,0.771868439468
7,1433,1001,0.698534542917
7,1439,768,0.533703961084
7,1447,525,0.362819626814
7,1451,222,0.152997932460
7,1453,986,0.678596008259
7,1459,311,0.213159698424
7,1471,464,0.315431679130
7,1481,520,0.351114112086
7,1483,553,0.372892784895
7,1487,1039,0.698722259583
7,1489,1376,0.924110141034
7,1493,892,0.597454789015
7,1499,987,0.658438959306
7,1511,46,0.030443414957
7,1523,1198,0.786605384110
7,1531,163,0.106466361855
7,1543,257,0.166558651977
7,1549,682,0.440284054229
7,1553,33,0.021249195106
7,1559,1299,0.833226427197
7,1567,731,0.466496490108
7,1571,509,0.323997453851
7,1579,1487,0.941735275491
7,1583,763,0.481996209728
7,1597,198,0.123982467126
7,1601,1440,0.899437851343
7,1607,161,0.100186683261
7,1609,1473,0.915475450590
7,1613,1449,0.898326100434
7,1619,733,0.452748610253
7,1621,300,0.185070943862
7,1627,918,0.564228641672
7,1637,1422,0.868662186927
7,1657,1157,0.698249849125
7,1663,935,0.562236921227
7,1667,1276,0.765446910618
7,1669,309,0.185140802876
7,1693,964,0.569403425871
7,1697,1424,0.839127872717
7,1699,1593,0.937610359035
7,1709,1462,0.855471035693
7,1721,1630,0.947123765253
7,1723,1489,0.864190365641
7,1733,957,0.552221581073
7,1741,1569,0.901206203331
7,1747,370,0.211791642816
7,1753,177,0.100969766115
7,1759,511,0.290505969301
7,1777,1252,0.704558244232
